trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",30,0,-161.34876967517368,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.25, 'e': 0.9689124217106447}",20,0,-55.71596378726328,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.8775825618903728}",20,3,-77.22008790066879,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.25, 'e': 0.7316888688738209}",25,3,-44.27832200103646,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.25, 'e': 0.5403023058681398}",20,2,20.166185913998348,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.25, 'e': 0.3153223623952687}",20,13,12.6520286062689,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.25, 'e': 0.0707372016677029}",25,17,17.04812023048469,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.25, 'e': 0.17824605564949209}",30,14,-16.492817962440235,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.25, 'e': 0.4161468365471424}",30,13,-12.747155880513782,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.25, 'e': 0.6281736227227391}",20,1,-28.399465002077253,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.25, 'e': 0.8011436155469337}",30,15,-22.402562779445937,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.25, 'e': 0.9243023786324636}",20,0,-111.07906706408676,"{0: 11, 1: 1, 2: 4, 3: 4, 4: 0}",0
13,False,"{'a': 0.25, 'e': 0.9899924966004454}",25,0,-121.21295420576294,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.25, 'e': 0.9941296760805463}",25,0,-160.881524568047,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.9364566872907963}",20,0,-117.31951830601194,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.8205593573395608}",20,0,-68.68351823503599,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.25, 'e': 0.6536436208636119}",20,4,2.310561708053613,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.25, 'e': 0.4460874899137928}",25,7,-8.657964559558126,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.2107957994307797}",25,0,-3.5136581909727993,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.25, 'e': 0.03760215288797655}",20,10,19.254738997769184,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.25, 'e': 0.28366218546322625}",20,10,9.181975361374764,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.25, 'e': 0.5120854772418407}",25,0,-160.8894372745966,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
23,False,"{'a': 0.25, 'e': 0.70866977429126}",20,0,-45.225411839231974,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.25, 'e': 0.8611924171615208}",30,6,-132.24624823452507,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 2}",1
25,False,"{'a': 0.25, 'e': 0.960170286650366}",20,0,-54.1729919410935,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.25, 'e': 0.9994494182244994}",30,0,-268.1944160720104,"{0: 15, 1: 2, 2: 7, 3: 2, 4: 4}",0
27,False,"{'a': 0.25, 'e': 0.9765876257280235}",30,0,-230.87836094882485,"{0: 15, 1: 3, 2: 8, 3: 0, 4: 4}",0
28,False,"{'a': 0.25, 'e': 0.8930063446890767}",20,0,-59.8844922397422,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.25, 'e': 0.7539022543433046}",25,0,-97.41978741245326,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
30,False,"{'a': 0.25, 'e': 0.5679241732886948}",30,12,-54.13793786946954,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.25, 'e': 0.3466353178350258}",20,2,-40.54202240042273,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
32,False,"{'a': 0.25, 'e': 0.10379435721925297}",20,9,5.785947984132427,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.25, 'e': 0.14550003380861354}",20,14,10.25288938119229,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.25, 'e': 0.3857479374522218}",20,6,4.967102578359159,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.25, 'e': 0.6020119026848236}",25,19,-1.5837998091583327,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.25, 'e': 0.7808456836057491}",20,9,-5.1984464536820685,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.25, 'e': 0.9111302618846769}",30,0,-250.85376579758534,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
38,False,"{'a': 0.25, 'e': 0.9847651734673236}",20,4,-148.3882382609086,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 3}",1
39,False,"{'a': 0.25, 'e': 0.9971721561963784}",25,0,-93.45021423885214,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.25, 'e': 0.9475798039779932}",25,0,-132.29163338147012,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.25, 'e': 0.8390715290764524}",30,0,-142.31134238325393,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",1
42,False,"{'a': 0.25, 'e': 0.6783938504738453}",30,0,-14.282610855957412,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.25, 'e': 0.4755369279959925}",30,17,16.26927886856293,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.24311342256103}",20,0,-4.332387347326498,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.25, 'e': 0.004425697988050785}",25,15,20.475877497154396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,9,20.180059548441932,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,19,13.025212174760968,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,9,28.216843012992264,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,12,14.853471399129031,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,7,30.066223305130844,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,11,13.166919980504721,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,11,15.86026096462322,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,3,29.906030795873303,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,14,7.8721704776133095,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,16,17.32780679834351,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",30,16,22.96680632544967,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,12,22.03259823460191,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,16,8.429431342316889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",25,17,13.397816544425952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",20,6,25.748369010242584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,16,7.446320702140535,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",20,8,25.578357442889008,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",20,2,28.917594491852903,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",20,11,15.802908560248785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",30,18,23.599544871735578,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
