trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.65559093475153,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",30,0,-128.98120680997775,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,4,-135.97423478172902,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-61.04737760952409,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.4161468365471424}",25,0,-163.3241141552591,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-157.11001804409938,"{0: 11, 1: 1, 2: 10, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-65.11698211256962,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9364566872907963}",30,0,-158.5807119203736,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-32.84856813546385,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.2107957994307797}",25,0,-121.36767290768813,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-50.9931801197791,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-76.10343584093697,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.960170286650366}",20,13,-41.05815905432616,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-125.24792169615625,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-131.705223398997,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",20,0,-113.0117504922735,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.14550003380861354}",30,0,-217.90531032537177,"{0: 13, 1: 7, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.6020119026848236}",25,0,-151.6292751512439,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9111302618846769}",20,0,-56.652950373715804,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-123.85516127942252,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-307.8624265225597,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 5}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-108.47168532776712,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,3,-59.45800327872059,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-132.84854742272768,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,12,-57.67175886065351,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.74974814919575,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-132.55548469951972,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-26.58020307329263,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-103.26077378823652,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-188.4047180764746,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
